ITEMS Fri 07-01-2022 - Fri 01-06-2023,,,,,,
Item,Size,Report Category,SKU,Qty,Net,Gross
Salty Dog,DOUBLE,ALCOHOL,,1,$12.00,$12.00
Satellite,SINGLE,ALCOHOL,,15,$180.00,$180.00
Saturn,SINGLE,ALCOHOL,,1118,"$12,895.80","$13,416.00"
Saturn,DOUBLE,ALCOHOL,,6,$108.00,$108.00
Saut̩ed Mixed Veggies,,FOOD,,275,"$1,536.00","$1,585.00"
Scorpion Bowl,,ALCOHOL,,543,"$21,490.00","$21,720.00"
Screamsicle,SINGLE,ALCOHOL,,26,$156.00,$156.00
Screwdriver,SINGLE,ALCOHOL,,15,$105.00,$105.00
Seabreeze,SINGLE,ALCOHOL,,2,$20.00,$20.00
Seagrams,SINGLE,ALCOHOL,,9,$73.50,$73.50
Seagrams,DOUBLE,ALCOHOL,,2,$21.00,$21.00
Seared Ahi Salad,,FOOD,,1306,"$21,657.00","$23,520.00"
Seismic Fries,,FOOD,,2477,"$13,581.50","$14,557.00"
Sex On The Beach,SINGLE,ALCOHOL,,9,$63.00,$63.00
Shimmer Pilsner--Draft,,DRAFT BEER,,1225,"$9,155.60","$9,800.00"
Shirley Temple,,NON ALCOHOL,,407,"$1,627.60","$1,628.00"
Side Salad,,FOOD,,554,"$3,126.80","$3,238.00"
Side Salad Sub,,FOOD,,181,$529.50,$543.00
Skeleton Surfer Short Sleeve,,MERCH--TSHIRTS,,16,$300.00,$320.00
Skeleton Surfer Tanktop,,MERCH--TSHIRTS,,9,$170.00,$180.00
Smith & Cross,SINGLE,ALCOHOL,,12,$96.00,$96.00
Smoke &  Embers,SINGLE,ALCOHOL,,19,$266.00,$266.00
Soda,,NON ALCOHOL,,6996,"$20,964.00","$20,988.00"
Soda Water,,NON ALCOHOL,,229,$687.00,$687.00
Spam Musubi,,FOOD,,2922,"$28,855.80","$29,929.00"
Starry Daze,SINGLE,ALCOHOL,,368,"$4,280.00","$4,416.00"
Strawberry Lemonade,,NON ALCOHOL,,54,$270.00,$270.00
Strawberry Passion Brulee,,FOOD,,677,"$5,245.60","$5,416.00"
Surf n Turf Skewer Tray,,FOOD,,2,$180.00,$180.00
Sweet Chili Wings,,FOOD,,1746,"$20,633.60","$21,099.00"
Sweet Chili Wings Tray,,FOOD,,2,$112.00,$112.00
Sweet Potato Fries,,FOOD,,45,$254.80,$315.00
TOMATO JUICE,,NON ALCOHOL,,1,$3.00,$3.00
Tamarind Pua'a,,FOOD,,2919,"$51,636.50","$51,759.30"
Tanqueray,SINGLE,ALCOHOL,,77,$808.00,$808.00
Tanqueray,DOUBLE,ALCOHOL,,4,$60.00,$60.00
Teriyaki Prawn Skewers,,FOOD,,957,"$16,781.90","$17,078.00"
Teriyaki Vegetable Skewers,,FOOD,,474,"$4,129.00","$4,273.50"
That One,SINGLE,ALCOHOL,,515,"$6,450.40","$6,695.00"
The Bonzer,SINGLE,ALCOHOL,,812,"$9,393.20","$9,744.00"
The Bonzer Mug,,MERCH-- MUGS,,248,"$3,720.00","$3,720.00"
The Funk,SINGLE,ALCOHOL,,4,$32.00,$32.00
The Funk,DOUBLE,ALCOHOL,,1,$12.00,$12.00
Tikizilla Short Sleeve,,MERCH--TSHIRTS,,23,$430.00,$460.00
Tito's,SINGLE,ALCOHOL,,632,"$5,354.40","$5,362.00"
Tito's,DOUBLE,ALCOHOL,,32,$384.40,$388.00
Tofu Lettuce Wraps,,FOOD,,706,"$8,125.50","$8,802.00"
Tom Collins,SINGLE,ALCOHOL,,2,$14.00,$14.00
Triton's Oasis,SINGLE,ALCOHOL,,13,$390.00,$390.00
Turkey Feast (Entree Only),,FOOD,,16,$375.00,$480.00
Turkey Feast Dessert,,FOOD,,8,$0.00,$0.00
Turkey Feast Entree,,FOOD,,8,$315.00,$360.00
Turkey Feast First Course,,FOOD,,7,$0.00,$0.00
Unusual Suspects,SINGLE,ALCOHOL,,895,"$10,318.80","$10,740.00"
Unusual Suspects,DOUBLE,ALCOHOL,,1,$19.00,$19.00
Vanilla Ice Cream,,FOOD,,357,"$1,150.00","$1,785.00"
Vegetable Skewer Tray,,FOOD,,4,$200.00,$200.00
Venus Blend No. 1,SINGLE,ALCOHOL,,81,$763.00,$763.00
Venus Blend No. 1,DOUBLE,ALCOHOL,,3,$42.00,$42.00
Virgin Drink,,ALCOHOL,,462,"$2,771.40","$2,772.00"
Voodoo Ranger,,DRAFT BEER,,41,$318.00,$328.00
Walking Dead,SINGLE,ALCOHOL,,2120,"$24,512.60","$25,440.00"
Walking Dead Mug,,MERCH-- MUGS,,549,"$8,203.50","$8,235.00"
Walking Dead To Go,8oz,ALCOHOL,,4,$64.00,$64.00
Walking Dead To Go,16oz,ALCOHOL,,1,$30.00,$30.00
Whale Hello There,SINGLE,ALCOHOL,,25,$300.00,$300.00
Whaler's Cove Silver,SINGLE,ALCOHOL,,1,$7.00,$7.00
Whalers Vanilla,SINGLE,ALCOHOL,,11,$66.00,$66.00
Whiskey Sour,SINGLE,ALCOHOL,,9,$90.00,$90.00
White Russian,SINGLE,ALCOHOL,,15,$120.00,$120.00
Wonton Chips Side,,FOOD,,18,$36.00,$36.00
Worthy Park  2006,SINGLE,ALCOHOL,,1,$32.00,$32.00
Worthy Park Reserve,SINGLE,ALCOHOL,,2,$28.00,$28.00
Worthy Park Special Cask Port,SINGLE,ALCOHOL,,5,$95.00,$95.00
Zacapa 23 Rum,SINGLE,ALCOHOL,,20,$244.00,$244.00
Zacapa Edicion Negra,SINGLE,ALCOHOL,,3,$51.00,$51.00
Zacapa XO,SINGLE,ALCOHOL,,1,$27.00,$27.00
Zaya Gran Reserva Rum,SINGLE,ALCOHOL,,15,$184.00,$184.00
Zombie,SINGLE,ALCOHOL,,23,$299.00,$299.00
makai Hat,,MERCH--TSHIRTS,,15,$280.00,$300.00
Total,,,,170450,"$2,053,876.47","$2,125,561.18"
